Taxpayer_Number,Taxpayer_Name,Taxpayer_Address,Taxpayer_City,Taxpayer_State,Taxpayer_Zip,Taxpayer_County,Location_Number,Location_Name,Location_Address,Location_City,Location_State,Location_Zip,Location_County,TABC_Permit_Number,Inside/Outside_City_Limits,Responsibility_Begin_Date,Responsibility_End_Date,Obligation_End_Date,Liquor_Receipts,Wine_Receipts,Beer_Receipts,Cover_Charge_Receipts,Total_Receipts
14216913153,"SORTO'S GROUP, LLC",2600 W 2ND ST,TAYLOR,TX,76574,246,4,MASFAJITAS RESTAURANT,3010 WILLIAMS DR,GEORGETOWN,TX,78628,246,MB934086,Y,02/04/2016,,12/31/2017,$16071,$618,$4972,$0,$21661
32019999773,"PATZCUARO, LLC",251 N BELL BLVD STE 111B,CEDAR PARK,TX,78613,246,1,LOS REYES MEXICAN RESTAURANT,251 N BELL BLVD STE 111B,CEDAR PARK,TX,78613,246,MB645453,Y,11/20/2006,,12/31/2017,$6115,$94,$1132,$0,$7341
32030059524,"AMERISERVE CO., INC.",319 AVALANCHE AVE,GEORGETOWN,TX,78626,246,1,TONY & LUIGI'S ITALIAN RESTAURANT,1201 S CHURCH ST,GEORGETOWN,TX,78626,246,RM692521,Y,05/13/2008,,12/31/2017,$2968,$12409,$1440,$0,$16817
12013777607,"TP TEXAS BEVERAGES, LLC",PO BOX 57565,OKLAHOMA CITY,OK,73157,0,2,TWIN PEAKS RESTAURANT,100 LOUIS HENNA BLVD,ROUND ROCK,TX,78664,246,MB685681,Y,03/03/2008,,12/31/2017,$40177,$336,$94053,$0,$134566
17519330587,"CHILI'S BEVERAGE COMPANY, INC.",6820 LYNDON B JOHNSON FWY,DALLAS,TX,75240,57,293,CHILI'S GRILL & BAR,4401 N INTERSTATE 35 STE 2001,ROUND ROCK,TX,78664,246,MB652749,Y,02/27/2007,,12/31/2017,$11420,$794,$8246,$0,$20460
32063106366,"3M 620, LLC",11620 RANCH ROAD 620 N,AUSTIN,TX,78750,246,1,TIO LOCO TEX MEX,11620 RANCH ROAD 620 N,AUSTIN,TX,78750,246,MB986702,Y,06/28/2017,,12/31/2017,$28451,$1528,$6850,$0,$36829
32063887528,A.W. CRAFT DISTILLERY LLC,5114 BALCONES WOODS DR STE 307-310,AUSTIN,TX,78759,227,1,A.W. CRAFT DISTILLERY LLC,274 BUCK BND # B,GEORGETOWN,TX,78628,246,D 997769,N,10/18/2017,,12/31/2017,$0,$0,$0,$0,$0
17519330587,"CHILI'S BEVERAGE COMPANY, INC.",6820 LYNDON B JOHNSON FWY,DALLAS,TX,75240,57,112,CHILI'S GRILL & BAR,11012 PECAN PARK BLVD,CEDAR PARK,TX,78613,246,MB239865,Y,06/15/1998,,12/31/2017,$16290,$1524,$9334,$0,$27148
32056104022,"COPPER TOP TAVERN AUSTIN, LLC",15912 RANCH ROAD 620 N STE 101,AUSTIN,TX,78717,246,1,COPPER TOP TAVERN,15912 RANCH ROAD 620 N STE 101,AUSTIN,TX,78717,246,MB902985,N,03/27/2015,,12/31/2017,$16333,$1220,$17757,$0,$35310
32033248629,"SUCCESS FOODS MANAGEMENT GROUP, LLC",4501 SPRINGDALE RD ATTN: DANNY RUSSO,AUSTIN,TX,78723,227,28,TORCHY'S TACOS,2150 E PALM VALLEY BLVD STE 100,ROUND ROCK,TX,78665,246,MB835207,Y,03/20/2013,,12/31/2017,$21280,$808,$11431,$0,$33519
14216913153,"SORTO'S GROUP, LLC",2600 W 2ND ST,TAYLOR,TX,76574,246,2,MASFAJITAS RESTAURANT,2600 W 2ND ST,TAYLOR,TX,76574,246,RM669522,Y,08/24/2007,,12/31/2017,$12222,$100,$4691,$0,$17013
17429868247,"OMB, INC.",13233 POND SPRINGS RD STE 301,AUSTIN,TX,78729,246,1,JARDIN CORONA MEXICAN RESTAURANT,13233 POND SPRINGS RD STE 301,AUSTIN,TX,78729,246,MB490464,Y,04/02/2001,,12/31/2017,$45581,$670,$6629,$0,$52880
12616167560,"MONGOLIAN MANAGEMENT, LLC",13131 CHAMPIONS DR STE 110,HOUSTON,TX,77069,101,6,MONGOLIAN MANAGEMENT LLC,1015 W UNIVERSITY AVE,GEORGETOWN,TX,78628,246,RM719081,Y,04/08/2009,,12/31/2017,$0,$0,$0,$0,$0
17519330587,"CHILI'S BEVERAGE COMPANY, INC.",6820 LYNDON B JOHNSON FWY,DALLAS,TX,75240,57,159,CHILI'S GRILL & BAR,1205 N BELL BLVD,CEDAR PARK,TX,78613,246,MB525219,Y,10/24/2002,,12/31/2017,$18111,$1657,$11585,$0,$31353
17521332019,"OLIVE GARDEN OF TEXAS, LLC",PO BOX 695011,ORLANDO,FL,32869,0,48,OLIVE GARDEN OF TEXAS #1537,12827 RANCH ROAD 620 N,AUSTIN,TX,78750,246,MB519984,Y,07/31/2002,,12/31/2017,$11376,$19761,$5021,$0,$36158
32033248629,"SUCCESS FOODS MANAGEMENT GROUP, LLC",4501 SPRINGDALE RD ATTN: DANNY RUSSO,AUSTIN,TX,78723,227,31,TORCHY'S TACOS,1468 E WHITESTONE BLVD STE 100,CEDAR PARK,TX,78613,246,MB846755,Y,07/23/2013,,12/31/2017,$19161,$1139,$11098,$0,$31398
17519330587,"CHILI'S BEVERAGE COMPANY, INC.",6820 LYNDON B JOHNSON FWY,DALLAS,TX,75240,57,94,CHILI'S GRILL & BAR,2711 S INTERSTATE 35,ROUND ROCK,TX,78664,246,MB261876,Y,01/16/1996,,12/31/2017,$15201,$853,$8014,$0,$24068
12627049385,"ALSTIG, INC.",1102 RED BIRD DR,CEDAR PARK,TX,78613,246,2,MOUTON'S SOUTHERN BISTRO,309 N HIGHWAY 183,LEANDER,TX,78641,246,MB943457,Y,05/05/2016,,12/31/2017,$3305,$2176,$2738,$0,$8219
32047707347,"SYNERGY RESTAURANT MANAGEMENT - HOUSTON, L.L.C.",13355 NOEL RD STE 1645,DALLAS,TX,75240,57,4,APPLEBEE'S #8004 (GEORGETOWN),350 S INTERSTATE 35,GEORGETOWN,TX,78626,246,MB815722,Y,08/02/2012,,12/31/2017,$14261,$1386,$10333,$0,$25980
12633811075,URUAPAN LLC,13776 N HIGHWAY 183 STE 145,AUSTIN,TX,78750,246,1,LOS REYES MEXICAN GRILL & SEAFOOD RESTAURANT,13776 N HIGHWAY 183 STE 145,AUSTIN,TX,78750,246,MB713511,Y,01/29/2009,,12/31/2017,$4476,$204,$1205,$0,$5885
32052053728,"RYAN SANDERS SPORTS SERVICES, LLC",3400 E PALM VALLEY BLVD,ROUND ROCK,TX,78665,246,1,"RYAN SANDERS SPORTS SERVICES, LLC",3400 E PALM VALLEY BLVD,ROUND ROCK,TX,78665,246,MB895682,Y,01/21/2015,,12/31/2017,$0,$0,$364,$0,$364
32047707347,"SYNERGY RESTAURANT MANAGEMENT - HOUSTON, L.L.C.",13355 NOEL RD STE 1645,DALLAS,TX,75240,57,5,APPLEBEE'S #8008 (ROUND ROCK),2700 PARKER RD STE A,ROUND ROCK,TX,78681,246,MB814544,Y,07/25/2012,,12/31/2017,$21411,$1574,$11319,$0,$34304
19108474867,"RED ROBIN INTERNATIONAL, INC.",6312 S FIDDLERS GREEN CIR STE 200N,GREENWOOD VLG,CO,80111,0,23,RED ROBIN GOURMET BURGERS & BREWS,5011 183A TOLL RD,CEDAR PARK,TX,78613,246,MB984687,Y,06/07/2017,,12/31/2017,$8313,$15944,$1535,$0,$25792
32056648747,TAPATIA JALISCO #3 LLC,651 N HIGHWAY 183 STE 310,LEANDER,TX,78641,246,1,TAPATIA JALISCO #3 LLC,651 N US 183,LEANDER,TX,78641,246,MB917014,Y,08/11/2015,,12/31/2017,$6674,$45,$2625,$0,$9344
17428280097,APPETITE INC.,812 S AUSTIN AVE,GEORGETOWN,TX,78626,246,1,WILDFIRE,812 S AUSTIN AVE,GEORGETOWN,TX,78626,246,RM615563,Y,12/06/2005,,12/31/2017,$23273,$28854,$8019,$0,$60146
32031455721,"HACIENDA GARCIA'S, INC.",11500 MANCHACA RD,AUSTIN,TX,78748,227,1,CASA GARCIA'S MEXICAN RESTAURANT,1901 N INTERSTATE 35,ROUND ROCK,TX,78664,246,MB672404,Y,09/26/2007,,12/31/2017,$14859,$456,$5067,$0,$20382
32033203616,"CNMK TEXAS PROPERTIES, LLC",3900 DALLAS PKWY STE 500,PLANO,TX,75093,43,85,1032 CINEMARK CEDAR PARK 12,1335 E WHITESTONE BLVD,CEDAR PARK,TX,78613,246,MB984501,Y,06/06/2017,,12/31/2017,$0,$6395,$10410,$0,$16805
32036662958,"PURE LODGING HOSPITALITY, L.L.C.",4201 GALICENO,CEDAR PARK,TX,78613,246,1,ALOFT AUSTIN NW,14020 N HIGHWAY 183,AUSTIN,TX,78717,246,MB952496,Y,07/26/2016,,12/31/2017,$7138,$1795,$2574,$0,$11507
32064282554,"SALADO CREEK SALOON, LLC",974 S PATTERSON AVE,FLORENCE,TX,76527,246,1,SALADO CREEK SALOON,974 S PATTERSON AVE,FLORENCE,TX,76527,246,MB992672,N,08/30/2017,,12/31/2017,$6787,$44,$14381,$300,$21512
17429622800,"LOUISIANA LONGHORN CAFE, INC.",200 E MAIN ST STE B,ROUND ROCK,TX,78664,246,1,LOUISIANA LONGHORN CAFE,200 E MAIN ST STE B,ROUND ROCK,TX,78664,246,MB521003,Y,08/15/2002,,12/31/2017,$6606,$1168,$3518,$0,$11292
32009187249,"GRANGER COTTON CLUB STEAKHOUSE &DANCEHALL, INC.",PO BOX 939,GRANGER,TX,76530,246,1,COTTON CLUB STEAKHOUSE & DANCEHALL,212 E DAVILLA,GRANGER,TX,76530,246,RM710742,Y,12/18/2008,,12/31/2017,$6494,$475,$8799,$0,$15768
17429648821,AUSTIN SEAFOOD & STEAK LIMITED PARTNERSHIP,10310 WESTPARK DR,HOUSTON,TX,77042,101,1,FREDA'S SEAFOOD GRILLE,10903 PECAN PARK BLVD,AUSTIN,TX,78750,246,MB526917,Y,12/03/2002,,12/31/2017,$16846,$20263,$5199,$0,$42308
12023043354,"CGP BEVCO HOLDINGS, LLC",4400 PALM ROYALE BLVD,SUGAR LAND,TX,77479,79,4,BERRY CREEK 19TH HOLE,30500 BERRY CREEK DR,GEORGETOWN,TX,78628,246,RM620555,Y,03/18/2014,,12/31/2017,$10588,$9624,$6545,$0,$26757
32018501323,TACO MORE L.L.C.,9402B QUAIL MEADOW DR,AUSTIN,TX,78758,227,6,TACO MORE,301 W PALM VALLEY BLVD,ROUND ROCK,TX,78664,246,MB959453,Y,09/29/2016,,12/31/2017,$5524,$0,$13425,$0,$18949
32042288269,"AMC ITD, INC.",11500 ASH ST,LEAWOOD,KS,66211,0,38,AMC LAKELINE 9,11200 LAKELINE MALL DR,CEDAR PARK,TX,78613,246,MB983799,Y,05/30/2017,,12/31/2017,$7349,$2953,$7384,$0,$17686
32056429486,"TV TEXAS LIQUOR MANAGEMENT COMPANY, LLC",4333 TERAVISTA CLUB DR,ROUND ROCK,TX,78665,246,3,AVERY RANCH GOLF CLUB,10500 AVERY CLUB DR,AUSTIN,TX,78717,246,MB952349,Y,07/25/2016,,12/31/2017,$10710,$4116,$14035,$0,$28861
32039761641,TSH HOLDINGS LLC,201 SUNDANCE PKWY STE D,ROUND ROCK,TX,78681,246,1,TOKYO STEAK HOUSE,201 SUNDANCE PKWY STE D,ROUND ROCK,TX,78681,246,RM749424,Y,06/02/2010,,12/31/2017,$5349,$5447,$4232,$0,$15028
17519330587,"CHILI'S BEVERAGE COMPANY, INC.",6820 LYNDON B JOHNSON FWY,DALLAS,TX,75240,57,224,CHILI'S GRILL & BAR,614 HIGHWAY 79,HUTTO,TX,78634,246,MB245789,Y,10/27/2005,,12/31/2017,$16510,$1145,$12523,$0,$30178
32047707347,"SYNERGY RESTAURANT MANAGEMENT - HOUSTON, L.L.C.",13355 NOEL RD STE 1645,DALLAS,TX,75240,57,21,APPLEBEE'S #7745,103 CARLOS PARKER BLVD NW,TAYLOR,TX,76574,246,RM851823,Y,09/17/2013,,12/31/2017,$17556,$669,$10452,$0,$28677
